step,losses/entropy,losses/loss,losses/policy_loss,losses/value_loss,charts/0/avg_episode_returns,charts/0/avg_episode_success,param_rms/total,grad_rms/total,stats/training_time,var_explained
51200,-1.320396900177002,-0.003518654266372323,0.0059243617579340935,0.013133564963936806,-6.782708168029785,0.0,27.047744750976562,0.06790509819984436,0.08089375495910645,0.7855692505836487
102400,-1.3468589782714844,-0.020741861313581467,-0.010620476678013802,0.012545988894999027,-7.285482883453369,0.001466275659824047,27.05437660217285,0.06631076335906982,0.07694029808044434,0.6549457311630249
358400,-1.36448335647583,-0.011918439529836178,-0.0014972459757700562,0.012741711921989918,-7.123780250549316,0.0,27.070777893066406,0.036300286650657654,0.07636284828186035,0.5264390110969543
409600,-1.3563735485076904,-0.012403121218085289,-0.0023234912659972906,0.013502434827387333,-7.1634202003479,0.0,27.071659088134766,0.05594167858362198,0.08065962791442871,0.46966540813446045
460800,-1.362369179725647,-0.008400932885706425,0.001079024514183402,0.01644357107579708,-7.105889797210693,0.0,27.074832916259766,0.04312819987535477,0.07769584655761719,0.3585623502731323
563200,-1.365865707397461,-0.011783502995967865,-0.0013920663623139262,0.012882348150014877,-7.229079246520996,0.0,27.078685760498047,0.0414292998611927,0.07706785202026367,0.38889938592910767
819200,-1.3620492219924927,-0.01295408420264721,-0.003265675622969866,0.015454664826393127,-7.4543633460998535,0.0015313935681470138,27.08592987060547,0.05024400353431702,0.07640385627746582,0.416368305683136
972800,-1.362274408340454,-0.007975094951689243,0.002937001409009099,0.010653255507349968,-7.136375904083252,0.0,27.096847534179688,0.03630866855382919,0.0772101879119873,0.4547540247440338
1177600,-1.3634254932403564,-0.020182715728878975,-0.009490719996392727,0.011615827679634094,-7.009234428405762,0.0,27.108386993408203,0.049367256462574005,0.07766032218933105,0.2725095748901367
1484800,-1.360693097114563,-0.02290022373199463,-0.012883762829005718,0.014186099171638489,-7.216368198394775,0.001488095238095238,27.127399444580078,0.05542789772152901,0.07743000984191895,0.31943756341934204
1740800,-1.363974690437317,-0.011780209839344025,-0.0015245592221617699,0.013400537893176079,-7.166810989379883,0.0,27.151212692260742,0.03934888914227486,0.0759584903717041,0.2155928611755371
