step,losses/entropy,losses/loss,losses/policy_loss,losses/value_loss,charts/0/avg_episode_returns,charts/0/avg_episode_success,param_rms/total,grad_rms/total,stats/training_time,var_explained
102400,-1.346381664276123,0.007199103012681007,0.017323220148682594,0.012649407610297203,-7.166520118713379,0.0,27.286304473876953,0.10911941528320312,0.07717704772949219,0.7336721420288086
153600,-1.357899785041809,-0.009967852383852005,0.0004783904296346009,0.012172184884548187,-7.072382926940918,0.0,27.29006576538086,0.07061310112476349,0.07616734504699707,0.6848000288009644
563200,-1.3642175197601318,-0.012970346957445145,-0.0028404865879565477,0.01393156498670578,-7.214991569519043,0.0,27.308673858642578,0.037522006779909134,0.07764816284179688,0.4363951086997986
870400,-1.3641815185546875,-0.0034623893443495035,0.006592552177608013,0.014204858802258968,-7.059115886688232,0.0,27.324064254760742,0.04795730113983154,0.07543826103210449,0.4113959074020386
1433600,-1.3602076768875122,-0.015461282804608345,-0.0048354072496294975,0.011665383353829384,-7.169053077697754,0.0,27.372207641601562,0.04850459098815918,0.07672262191772461,0.2712380290031433
1484800,-1.3534793853759766,-0.005380687303841114,0.0052932146936655045,0.011069348081946373,-7.217154026031494,0.0,27.375499725341797,0.04248160868883133,0.07501482963562012,0.34824854135513306
1689600,-1.3366599082946777,-0.01273985393345356,-0.0026066508144140244,0.011912512592971325,-7.0136613845825195,0.0,27.393997192382812,0.0524885356426239,0.07656240463256836,0.47140073776245117
1894400,-1.3460785150527954,-0.006589906755834818,0.003992532845586538,0.010739186778664589,-7.251176357269287,0.0,27.417407989501953,0.04372962564229965,0.08190417289733887,0.3668140470981598
2406400,-1.3258919715881348,-0.005261423997581005,0.004181406460702419,0.013749770820140839,-7.187686443328857,0.0,27.46824073791504,0.05002623796463013,0.07658553123474121,0.39539796113967896
2764800,-1.3488203287124634,-0.005862747319042683,0.003597887698560953,0.015455462969839573,-7.1029181480407715,0.0,27.505725860595703,0.0515681654214859,0.07570362091064453,0.395943820476532
