"Step","quizzical-pike-2 - hard/00_episode_successes","quizzical-pike-2 - hard/00_episode_successes__MIN","quizzical-pike-2 - hard/00_episode_successes__MAX","quizzical-pike-2 - hard/01_episode_successes","quizzical-pike-2 - hard/01_episode_successes__MIN","quizzical-pike-2 - hard/01_episode_successes__MAX","quizzical-pike-2 - hard/02_episode_successes","quizzical-pike-2 - hard/02_episode_successes__MIN","quizzical-pike-2 - hard/02_episode_successes__MAX","quizzical-pike-2 - hard/04_episode_successes","quizzical-pike-2 - hard/04_episode_successes__MIN","quizzical-pike-2 - hard/04_episode_successes__MAX","quizzical-pike-2 - hard/06_episode_successes","quizzical-pike-2 - hard/06_episode_successes__MIN","quizzical-pike-2 - hard/06_episode_successes__MAX","quizzical-pike-2 - hard/08_episode_successes","quizzical-pike-2 - hard/08_episode_successes__MIN","quizzical-pike-2 - hard/08_episode_successes__MAX","quizzical-pike-2 - hard/10_episode_successes","quizzical-pike-2 - hard/10_episode_successes__MIN","quizzical-pike-2 - hard/10_episode_successes__MAX","quizzical-pike-2 - hard/12_episode_successes","quizzical-pike-2 - hard/12_episode_successes__MIN","quizzical-pike-2 - hard/12_episode_successes__MAX","quizzical-pike-2 - hard/16_episode_successes","quizzical-pike-2 - hard/16_episode_successes__MIN","quizzical-pike-2 - hard/16_episode_successes__MAX"
"998400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100147200","0.027911164465786314","0.027911164465786314","0.027911164465786314","0.02611044417767107","0.02611044417767107","0.02611044417767107","0.02701080432172869","0.02701080432172869","0.02701080432172869","0.03091236494597839","0.03091236494597839","0.03091236494597839","0.031212484993997598","0.031212484993997598","0.031212484993997598","0.032713085234093636","0.032713085234093636","0.032713085234093636","0.03391356542617047","0.03391356542617047","0.03391356542617047","0.036614645858343335","0.036614645858343335","0.036614645858343335","0.03691476590636254","0.03691476590636254","0.03691476590636254"
"200294400","0.04081632653061224","0.04081632653061224","0.04081632653061224","0.043817527010804325","0.043817527010804325","0.043817527010804325","0.043817527010804325","0.043817527010804325","0.043817527010804325","0.05042016806722689","0.05042016806722689","0.05042016806722689","0.05222088835534214","0.05222088835534214","0.05222088835534214","0.05432172869147659","0.05432172869147659","0.05432172869147659","0.0585234093637455","0.0585234093637455","0.0585234093637455","0.061524609843937574","0.061524609843937574","0.061524609843937574","0.0585234093637455","0.0585234093637455","0.0585234093637455"
"300441600","0.05312124849939976","0.05312124849939976","0.05312124849939976","0.05162064825930372","0.05162064825930372","0.05162064825930372","0.05582232893157263","0.05582232893157263","0.05582232893157263","0.05432172869147659","0.05432172869147659","0.05432172869147659","0.06722689075630252","0.06722689075630252","0.06722689075630252","0.06872749099639856","0.06872749099639856","0.06872749099639856","0.07533013205282113","0.07533013205282113","0.07533013205282113","0.07382953181272509","0.07382953181272509","0.07382953181272509","0.07563025210084033","0.07563025210084033","0.07563025210084033"
"400588800","0.05432172869147659","0.05432172869147659","0.05432172869147659","0.05432172869147659","0.05432172869147659","0.05432172869147659","0.057623049219687875","0.057623049219687875","0.057623049219687875","0.057623049219687875","0.057623049219687875","0.057623049219687875","0.06572629051620649","0.06572629051620649","0.06572629051620649","0.0702280912364946","0.0702280912364946","0.0702280912364946","0.07653061224489796","0.07653061224489796","0.07653061224489796","0.07472989195678272","0.07472989195678272","0.07472989195678272","0.07923169267707082","0.07923169267707082","0.07923169267707082"
"500736000","0.05822328931572629","0.05822328931572629","0.05822328931572629","0.06422569027611044","0.06422569027611044","0.06422569027611044","0.06092436974789916","0.06092436974789916","0.06092436974789916","0.06812725090036015","0.06812725090036015","0.06812725090036015","0.07503001200480192","0.07503001200480192","0.07503001200480192","0.08313325330132053","0.08313325330132053","0.08313325330132053","0.07923169267707082","0.07923169267707082","0.07923169267707082","0.0858343337334934","0.0858343337334934","0.0858343337334934","0.08793517406962785","0.08793517406962785","0.08793517406962785"
"600883200","0.04921968787515006","0.04921968787515006","0.04921968787515006","0.051320528211284515","0.051320528211284515","0.051320528211284515","0.053721488595438176","0.053721488595438176","0.053721488595438176","0.06212484993997599","0.06212484993997599","0.06212484993997599","0.0666266506602641","0.0666266506602641","0.0666266506602641","0.06962785114045618","0.06962785114045618","0.06962785114045618","0.07683073229291716","0.07683073229291716","0.07683073229291716","0.07593037214885955","0.07593037214885955","0.07593037214885955","0.08103241296518607","0.08103241296518607","0.08103241296518607"
"701030400","0.0585234093637455","0.0585234093637455","0.0585234093637455","0.05342136854741897","0.05342136854741897","0.05342136854741897","0.0546218487394958","0.0546218487394958","0.0546218487394958","0.060024009603841535","0.060024009603841535","0.060024009603841535","0.06452581032412966","0.06452581032412966","0.06452581032412966","0.07112845138055222","0.07112845138055222","0.07112845138055222","0.07202881152460984","0.07202881152460984","0.07202881152460984","0.07533013205282113","0.07533013205282113","0.07533013205282113","0.07533013205282113","0.07533013205282113","0.07533013205282113"
"801177600","0.062424969987995196","0.062424969987995196","0.062424969987995196","0.06692677070828332","0.06692677070828332","0.06692677070828332","0.07082833133253301","0.07082833133253301","0.07082833133253301","0.07202881152460984","0.07202881152460984","0.07202881152460984","0.08283313325330131","0.08283313325330131","0.08283313325330131","0.08553421368547419","0.08553421368547419","0.08553421368547419","0.09213685474189676","0.09213685474189676","0.09213685474189676","0.09183673469387756","0.09183673469387756","0.09183673469387756","0.09243697478991597","0.09243697478991597","0.09243697478991597"
"901324800","0.062424969987995196","0.062424969987995196","0.062424969987995196","0.061524609843937574","0.061524609843937574","0.061524609843937574","0.06452581032412966","0.06452581032412966","0.06452581032412966","0.06782713085234093","0.06782713085234093","0.06782713085234093","0.07322929171668667","0.07322929171668667","0.07322929171668667","0.08283313325330131","0.08283313325330131","0.08283313325330131","0.08373349339735894","0.08373349339735894","0.08373349339735894","0.08523409363745499","0.08523409363745499","0.08523409363745499","0.09063625450180073","0.09063625450180073","0.09063625450180073"
