Step,jovial-knuth-3 - hard/00_episode_successes,jovial-knuth-3 - hard/00_episode_successes__MIN,jovial-knuth-3 - hard/00_episode_successes__MAX,jovial-knuth-3 - hard/01_episode_successes,jovial-knuth-3 - hard/01_episode_successes__MIN,jovial-knuth-3 - hard/01_episode_successes__MAX,jovial-knuth-3 - hard/02_episode_successes,jovial-knuth-3 - hard/02_episode_successes__MIN,jovial-knuth-3 - hard/02_episode_successes__MAX,jovial-knuth-3 - hard/04_episode_successes,jovial-knuth-3 - hard/04_episode_successes__MIN,jovial-knuth-3 - hard/04_episode_successes__MAX,jovial-knuth-3 - hard/06_episode_successes,jovial-knuth-3 - hard/06_episode_successes__MIN,jovial-knuth-3 - hard/06_episode_successes__MAX,jovial-knuth-3 - hard/08_episode_successes,jovial-knuth-3 - hard/08_episode_successes__MIN,jovial-knuth-3 - hard/08_episode_successes__MAX,jovial-knuth-3 - hard/10_episode_successes,jovial-knuth-3 - hard/10_episode_successes__MIN,jovial-knuth-3 - hard/10_episode_successes__MAX,jovial-knuth-3 - hard/12_episode_successes,jovial-knuth-3 - hard/12_episode_successes__MIN,jovial-knuth-3 - hard/12_episode_successes__MAX,jovial-knuth-3 - hard/16_episode_successes,jovial-knuth-3 - hard/16_episode_successes__MIN,jovial-knuth-3 - hard/16_episode_successes__MAX
998400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014720,0.0033013205282112,0.0033013205282112,0.0033013205282112,0.0033013205282112,0.0033013205282112,0.0033013205282112,0.0036014405762304,0.0036014405762304,0.0036014405762304,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496,0.0039015606242496
20029440,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.040516206482593,0.040516206482593,0.040516206482593,0.0426170468187274,0.0426170468187274,0.0426170468187274,0.0441176470588235,0.0441176470588235,0.0441176470588235,0.0447178871548619,0.0447178871548619,0.0447178871548619,0.0447178871548619,0.0447178871548619,0.0447178871548619,0.0444177671068427,0.0444177671068427,0.0444177671068427,0.0426170468187274,0.0426170468187274,0.0426170468187274,0.0441176470588235,0.0441176470588235,0.0441176470588235
30044160,0.0591236494597839,0.0591236494597839,0.0591236494597839,0.0669267707082833,0.0669267707082833,0.0669267707082833,0.0690276110444177,0.0690276110444177,0.0690276110444177,0.0750300120048019,0.0750300120048019,0.0750300120048019,0.0759303721488595,0.0759303721488595,0.0759303721488595,0.0789315726290516,0.0789315726290516,0.0789315726290516,0.0789315726290516,0.0789315726290516,0.0789315726290516,0.0762304921968787,0.0762304921968787,0.0762304921968787,0.0789315726290516,0.0789315726290516,0.0789315726290516
40058880,0.0819327731092437,0.0819327731092437,0.0819327731092437,0.0879351740696278,0.0879351740696278,0.0879351740696278,0.0942376950780312,0.0942376950780312,0.0942376950780312,0.1011404561824729,0.1011404561824729,0.1011404561824729,0.1053421368547418,0.1053421368547418,0.1053421368547418,0.1044417767106842,0.1044417767106842,0.1044417767106842,0.1068427370948379,0.1068427370948379,0.1068427370948379,0.1056422569027611,0.1056422569027611,0.1056422569027611,0.1074429771908763,0.1074429771908763,0.1074429771908763
50073600,0.1182472989195678,0.1182472989195678,0.1182472989195678,0.132953181272509,0.132953181272509,0.132953181272509,0.1386554621848739,0.1386554621848739,0.1386554621848739,0.1512605042016806,0.1512605042016806,0.1512605042016806,0.1563625450180072,0.1563625450180072,0.1563625450180072,0.1536614645858343,0.1536614645858343,0.1536614645858343,0.1578631452581032,0.1578631452581032,0.1578631452581032,0.15906362545018,0.15906362545018,0.15906362545018,0.1557623049219688,0.1557623049219688,0.1557623049219688
60088320,0.1347539015606242,0.1347539015606242,0.1347539015606242,0.141656662665066,0.141656662665066,0.141656662665066,0.1530612244897959,0.1530612244897959,0.1530612244897959,0.1650660264105642,0.1650660264105642,0.1650660264105642,0.1710684273709483,0.1710684273709483,0.1710684273709483,0.1722689075630252,0.1722689075630252,0.1722689075630252,0.1767707082833133,0.1767707082833133,0.1767707082833133,0.1740696278511404,0.1740696278511404,0.1740696278511404,0.1740696278511404,0.1740696278511404,0.1740696278511404
70103040,0.1422569027611044,0.1422569027611044,0.1422569027611044,0.1599639855942377,0.1599639855942377,0.1599639855942377,0.1743697478991596,0.1743697478991596,0.1743697478991596,0.1851740696278511,0.1851740696278511,0.1851740696278511,0.1875750300120048,0.1875750300120048,0.1875750300120048,0.1899759903961584,0.1899759903961584,0.1899759903961584,0.1902761104441776,0.1902761104441776,0.1902761104441776,0.1920768307322929,0.1920768307322929,0.1920768307322929,0.1908763505402161,0.1908763505402161,0.1908763505402161
80117760,0.1536614645858343,0.1536614645858343,0.1536614645858343,0.1731692677070828,0.1731692677070828,0.1731692677070828,0.1881752701080432,0.1881752701080432,0.1881752701080432,0.1962785114045618,0.1962785114045618,0.1962785114045618,0.2031812725090036,0.2031812725090036,0.2031812725090036,0.2025810324129651,0.2025810324129651,0.2025810324129651,0.1995798319327731,0.1995798319327731,0.1995798319327731,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2019807923169267,0.2019807923169267,0.2019807923169267
90132480,0.1602641056422569,0.1602641056422569,0.1602641056422569,0.1803721488595438,0.1803721488595438,0.1803721488595438,0.1986794717887154,0.1986794717887154,0.1986794717887154,0.2016806722689075,0.2016806722689075,0.2016806722689075,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2079831932773109,0.2079831932773109,0.2079831932773109,0.2076830732292917,0.2076830732292917,0.2076830732292917,0.2079831932773109,0.2079831932773109,0.2079831932773109
100147200,0.174969987995198,0.174969987995198,0.174969987995198,0.195078031212485,0.195078031212485,0.195078031212485,0.2136854741896758,0.2136854741896758,0.2136854741896758,0.2220888355342136,0.2220888355342136,0.2220888355342136,0.2289915966386554,0.2289915966386554,0.2289915966386554,0.2250900360144057,0.2250900360144057,0.2250900360144057,0.2292917166866746,0.2292917166866746,0.2292917166866746,0.2277911164465786,0.2277911164465786,0.2277911164465786,0.2253901560624249,0.2253901560624249,0.2253901560624249
110161920,0.1848739495798319,0.1848739495798319,0.1848739495798319,0.1986794717887154,0.1986794717887154,0.1986794717887154,0.2145858343337335,0.2145858343337335,0.2145858343337335,0.2265906362545018,0.2265906362545018,0.2265906362545018,0.234093637454982,0.234093637454982,0.234093637454982,0.234093637454982,0.234093637454982,0.234093637454982,0.2358943577430972,0.2358943577430972,0.2358943577430972,0.235594237695078,0.235594237695078,0.235594237695078,0.235594237695078,0.235594237695078,0.235594237695078
120176640,0.1989795918367347,0.1989795918367347,0.1989795918367347,0.2184873949579832,0.2184873949579832,0.2184873949579832,0.2361944777911164,0.2361944777911164,0.2361944777911164,0.2490996398559423,0.2490996398559423,0.2490996398559423,0.2554021608643457,0.2554021608643457,0.2554021608643457,0.2575030012004802,0.2575030012004802,0.2575030012004802,0.258703481392557,0.258703481392557,0.258703481392557,0.2620048019207683,0.2620048019207683,0.2620048019207683,0.2602040816326531,0.2602040816326531,0.2602040816326531
130191360,0.1863745498199279,0.1863745498199279,0.1863745498199279,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2166866746698679,0.2166866746698679,0.2166866746698679,0.2316926770708283,0.2316926770708283,0.2316926770708283,0.2319927971188475,0.2319927971188475,0.2319927971188475,0.2379951980792317,0.2379951980792317,0.2379951980792317,0.2406962785114045,0.2406962785114045,0.2406962785114045,0.2379951980792317,0.2379951980792317,0.2379951980792317,0.2358943577430972,0.2358943577430972,0.2358943577430972
140206080,0.1920768307322929,0.1920768307322929,0.1920768307322929,0.2121848739495798,0.2121848739495798,0.2121848739495798,0.2259903961584634,0.2259903961584634,0.2259903961584634,0.2409963985594237,0.2409963985594237,0.2409963985594237,0.244297719087635,0.244297719087635,0.244297719087635,0.245798319327731,0.245798319327731,0.245798319327731,0.2487995198079231,0.2487995198079231,0.2487995198079231,0.2466986794717887,0.2466986794717887,0.2466986794717887,0.25,0.25,0.25
150220800,0.2106842737094837,0.2106842737094837,0.2106842737094837,0.2361944777911164,0.2361944777911164,0.2361944777911164,0.2475990396158463,0.2475990396158463,0.2475990396158463,0.2668067226890756,0.2668067226890756,0.2668067226890756,0.2692076830732293,0.2692076830732293,0.2692076830732293,0.2701080432172869,0.2701080432172869,0.2701080432172869,0.2725090036014406,0.2725090036014406,0.2725090036014406,0.2731092436974789,0.2731092436974789,0.2731092436974789,0.2731092436974789,0.2731092436974789,0.2731092436974789
160235520,0.1860744297719087,0.1860744297719087,0.1860744297719087,0.2049819927971188,0.2049819927971188,0.2049819927971188,0.2163865546218487,0.2163865546218487,0.2163865546218487,0.2331932773109243,0.2331932773109243,0.2331932773109243,0.2301920768307322,0.2301920768307322,0.2301920768307322,0.2325930372148859,0.2325930372148859,0.2325930372148859,0.2358943577430972,0.2358943577430972,0.2358943577430972,0.2379951980792317,0.2379951980792317,0.2379951980792317,0.2364945978391356,0.2364945978391356,0.2364945978391356
170250240,0.2412965186074429,0.2412965186074429,0.2412965186074429,0.2620048019207683,0.2620048019207683,0.2620048019207683,0.2779111644657863,0.2779111644657863,0.2779111644657863,0.2935174069627851,0.2935174069627851,0.2935174069627851,0.2971188475390156,0.2971188475390156,0.2971188475390156,0.2974189675870348,0.2974189675870348,0.2974189675870348,0.2956182472989195,0.2956182472989195,0.2956182472989195,0.296218487394958,0.296218487394958,0.296218487394958,0.2953181272509003,0.2953181272509003,0.2953181272509003
180264960,0.2563025210084033,0.2563025210084033,0.2563025210084033,0.2794117647058823,0.2794117647058823,0.2794117647058823,0.2929171668667467,0.2929171668667467,0.2929171668667467,0.3097238895558223,0.3097238895558223,0.3097238895558223,0.315126050420168,0.315126050420168,0.315126050420168,0.3172268907563025,0.3172268907563025,0.3172268907563025,0.3166266506602641,0.3166266506602641,0.3166266506602641,0.3205282112845138,0.3205282112845138,0.3205282112845138,0.3202280912364946,0.3202280912364946,0.3202280912364946
190279680,0.1989795918367347,0.1989795918367347,0.1989795918367347,0.2217887154861944,0.2217887154861944,0.2217887154861944,0.237094837935174,0.237094837935174,0.237094837935174,0.257202881152461,0.257202881152461,0.257202881152461,0.2608043217286915,0.2608043217286915,0.2608043217286915,0.258703481392557,0.258703481392557,0.258703481392557,0.2629051620648259,0.2629051620648259,0.2629051620648259,0.2638055222088835,0.2638055222088835,0.2638055222088835,0.2614045618247299,0.2614045618247299,0.2614045618247299
200294400,0.235594237695078,0.235594237695078,0.235594237695078,0.2623049219687875,0.2623049219687875,0.2623049219687875,0.2749099639855942,0.2749099639855942,0.2749099639855942,0.2824129651860744,0.2824129651860744,0.2824129651860744,0.2884153661464586,0.2884153661464586,0.2884153661464586,0.2866146458583433,0.2866146458583433,0.2866146458583433,0.2881152460984393,0.2881152460984393,0.2881152460984393,0.2860144057623049,0.2860144057623049,0.2860144057623049,0.2821128451380552,0.2821128451380552,0.2821128451380552
300441600,0.2334933973589436,0.2334933973589436,0.2334933973589436,0.2593037214885954,0.2593037214885954,0.2593037214885954,0.2752100840336134,0.2752100840336134,0.2752100840336134,0.2860144057623049,0.2860144057623049,0.2860144057623049,0.2899159663865546,0.2899159663865546,0.2899159663865546,0.2902160864345738,0.2902160864345738,0.2902160864345738,0.2929171668667467,0.2929171668667467,0.2929171668667467,0.2947178871548619,0.2947178871548619,0.2947178871548619,0.2920168067226891,0.2920168067226891,0.2920168067226891
400588800,0.2668067226890756,0.2668067226890756,0.2668067226890756,0.2995198079231693,0.2995198079231693,0.2995198079231693,0.3127250900360144,0.3127250900360144,0.3127250900360144,0.3271308523409363,0.3271308523409363,0.3271308523409363,0.3277310924369748,0.3277310924369748,0.3277310924369748,0.3256302521008403,0.3256302521008403,0.3256302521008403,0.3274309723889556,0.3274309723889556,0.3274309723889556,0.3220288115246098,0.3220288115246098,0.3220288115246098,0.3217286914765906,0.3217286914765906,0.3217286914765906
500736000,0.3094237695078031,0.3094237695078031,0.3094237695078031,0.3499399759903961,0.3499399759903961,0.3499399759903961,0.3661464585834333,0.3661464585834333,0.3661464585834333,0.3748499399759904,0.3748499399759904,0.3748499399759904,0.3805522208883553,0.3805522208883553,0.3805522208883553,0.3754501800720288,0.3754501800720288,0.3754501800720288,0.3790516206482593,0.3790516206482593,0.3790516206482593,0.3784513805522209,0.3784513805522209,0.3784513805522209,0.3775510204081632,0.3775510204081632,0.3775510204081632
600883200,0.2539015606242497,0.2539015606242497,0.2539015606242497,0.283313325330132,0.283313325330132,0.283313325330132,0.297719087635054,0.297719087635054,0.297719087635054,0.3091236494597839,0.3091236494597839,0.3091236494597839,0.3109243697478991,0.3109243697478991,0.3109243697478991,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.3094237695078031,0.3094237695078031,0.3094237695078031,0.3073229291716686,0.3073229291716686,0.3073229291716686,0.306422569027611,0.306422569027611,0.306422569027611
701030400,0.3688475390156062,0.3688475390156062,0.3688475390156062,0.3940576230492197,0.3940576230492197,0.3940576230492197,0.4195678271308523,0.4195678271308523,0.4195678271308523,0.4363745498199279,0.4363745498199279,0.4363745498199279,0.4381752701080432,0.4381752701080432,0.4381752701080432,0.4396758703481392,0.4396758703481392,0.4396758703481392,0.4396758703481392,0.4396758703481392,0.4396758703481392,0.4435774309723889,0.4435774309723889,0.4435774309723889,0.4432773109243697,0.4432773109243697,0.4432773109243697
