step,losses/entropy,losses/loss,losses/policy_loss,losses/value_loss,charts/0/avg_episode_returns,charts/0/avg_episode_success,param_rms/total,grad_rms/total,stats/training_time,var_explained
102400,-1.3469901084899902,-0.00811803713440895,0.0018430507043376565,0.013284524902701378,-7.080291271209717,0.0,39.711029052734375,0.04724133759737015,0.7737321853637695,0.5600714683532715
204800,-1.3610272407531738,-0.00631323829293251,0.003437030129134655,0.015190116129815578,-7.0446672439575195,0.0,39.70491409301758,0.05185016244649887,0.774010181427002,0.42047998309135437
307200,-1.3620185852050781,-0.002449729945510626,0.00830649584531784,0.011228745803236961,-7.075682163238525,0.0,39.70210266113281,0.06259762495756149,0.775505781173706,0.5969338417053223
819200,-1.3644746541976929,-0.018468141555786133,-0.007685316726565361,0.011274652555584908,-7.181304454803467,0.001483679525222552,39.68980407714844,0.04310224950313568,0.7802634239196777,0.3705609440803528
870400,-1.3553986549377441,-0.0136043606325984,-0.003683958202600479,0.014101842418313026,-7.196022987365723,0.0,39.68993377685547,0.04897699132561684,0.7822206020355225,0.29594743251800537
1024000,-1.3430941104888916,-0.006566058844327927,0.003592816647142172,0.012322135269641876,-7.120813846588135,0.0,39.692237854003906,0.038375336676836014,0.7840805053710938,0.504897952079773
1228800,-1.3675227165222168,-0.013665454462170601,-0.003309302031993866,0.013187302276492119,-7.145226955413818,0.0,39.69804763793945,0.04246494919061661,0.7826306819915771,0.33896970748901367
1331200,-1.3616230487823486,-0.006110474467277527,0.004594868049025536,0.011406156234443188,-6.925327777862549,0.0,39.70560836791992,0.04071766138076782,0.7965643405914307,0.4926756024360657
1382400,-1.3654026985168457,-0.010069488547742367,0.0007990957819856703,0.010879181325435638,-7.245304107666016,0.0,39.70865249633789,0.03597766533493996,0.7864105701446533,0.43551361560821533
1433600,-1.3563392162322998,-0.010053334757685661,0.0005713339196518064,0.011389080435037613,-7.105276584625244,0.0,39.71262741088867,0.04295318201184273,0.7828505039215088,0.3582621216773987
1587200,-1.356445074081421,-0.009427669458091259,0.0005648486549034715,0.013948560692369938,-7.2869038581848145,0.0,39.72248077392578,0.05289267748594284,0.7911016941070557,0.41051435470581055
2099200,-1.3174476623535156,-0.010791560634970665,-0.0001381179317831993,0.007897521369159222,-7.056103229522705,0.0,39.835670471191406,0.06477683782577515,0.7842974662780762,0.6222262382507324
2252800,-1.272000789642334,-0.013024721294641495,-0.005861199460923672,0.01820426993072033,-7.085305690765381,0.0014992503748125937,39.8718147277832,0.1174604520201683,0.7875688076019287,0.4065316915512085
2406400,-1.2268562316894531,-0.011618455871939659,-0.004525735974311829,0.013454706408083439,-6.967242240905762,0.001443001443001443,39.912872314453125,0.08581244200468063,0.792189359664917,0.5640177726745605
2457600,-1.2937769889831543,-0.022640930488705635,-0.014208736829459667,0.015079730190336704,-6.970027923583984,0.0,39.92180252075195,0.08870959281921387,0.7901163101196289,0.45622116327285767
2560000,-1.304145336151123,-0.01948392763733864,-0.010413141921162605,0.012975811958312988,-7.063512325286865,0.0015015015015015015,39.950347900390625,0.07919906079769135,0.7925324440002441,0.5480227470397949
2969600,-1.254211664199829,-0.008306553587317467,-0.0010033128783106804,0.014898247085511684,-6.917595863342285,0.001430615164520744,40.056678771972656,0.1148451492190361,0.7911398410797119,0.5995970964431763
3123200,-1.264622449874878,-0.01252436637878418,-0.00528708565980196,0.01662755385041237,-6.934536457061768,0.0,40.097904205322266,0.13134607672691345,0.7867119312286377,0.6248503923416138
3532800,-1.076202154159546,-0.015733903273940086,-0.013074605725705624,0.018707726150751114,-6.494203090667725,0.0029717682020802376,40.26136016845703,0.18455496430397034,0.7901351451873779,0.6353210806846619
3891200,-0.9493495225906372,-0.011773990467190742,-0.013595646247267723,0.026476439088582993,-6.008533477783203,0.012802275960170697,40.433135986328125,0.24549022316932678,0.7880547046661377,0.7471579313278198
4044800,-0.947270393371582,-0.011077776551246643,-0.023040197789669037,0.06668247282505035,-5.901700496673584,0.015602836879432624,40.49213409423828,0.2814609408378601,0.7944061756134033,0.7542825937271118
4147200,-0.9558699727058411,-0.016745109111070633,-0.016298653557896614,0.01850736513733864,-6.028163433074951,0.005689900426742532,40.54338073730469,0.21152950823307037,0.7870090007781982,0.8556300401687622
4198400,-0.9947006106376648,-0.015039736405014992,-0.014011348597705364,0.018718764185905457,-6.046097755432129,0.005673758865248227,40.564327239990234,0.18342706561088562,0.7959041595458984,0.8213587999343872
4352000,-0.9186508655548096,-0.014684244059026241,-0.015224355272948742,0.019138578325510025,-5.7721147537231445,0.016058394160583942,40.63269805908203,0.21664080023765564,0.7884924411773682,0.8604567646980286
4864000,-0.9311842918395996,0.018622223287820816,-0.012589010410010815,0.1398625373840332,-5.532603740692139,0.023289665211062592,40.84613037109375,0.31520164012908936,0.7955453395843506,0.7707759141921997
4915200,-0.9523214101791382,-0.018429573625326157,-0.01890455186367035,0.02065463364124298,-5.479176998138428,0.014164305949008499,40.86803436279297,0.2220841348171234,0.7908179759979248,0.8773353099822998
4966400,-0.8589727878570557,0.032093487679958344,-0.010868559591472149,0.17977313697338104,-5.324889659881592,0.024602026049204053,40.88509750366211,0.40097808837890625,0.7997076511383057,0.6944611072540283
5017600,-0.9981689453125,0.0065639689564704895,-0.023897554725408554,0.14383143186569214,-5.271997928619385,0.032857142857142856,40.91258239746094,0.3349394202232361,0.7886407375335693,0.6988659501075745
5324800,-1.0299811363220215,0.011699115857481956,-0.017448820173740387,0.141182541847229,-5.282106399536133,0.018030513176144243,41.030113220214844,0.2974182367324829,0.7901613712310791,0.8512343168258667
5376000,-0.8992782831192017,-0.00708624254912138,-0.010085303336381912,0.023861076682806015,-5.40219783782959,0.021994134897360705,41.0471305847168,0.25734943151474,0.7854423522949219,0.8894020318984985
5478400,-0.9480628371238708,0.012352803722023964,-0.01852755807340145,0.1409742534160614,-5.082307815551758,0.03654970760233918,41.090614318847656,0.301105260848999,0.7884411811828613,0.7716412544250488
5939200,-0.9778006076812744,-0.00523397047072649,-0.01542295515537262,0.06271716952323914,-4.801970481872559,0.04507042253521127,41.309471130371094,0.24372050166130066,0.7880711555480957,0.8393934369087219
6041600,-0.8756051659584045,0.03755638375878334,-0.015551770105957985,0.22215011715888977,-4.505329608917236,0.06195965417867435,41.3610725402832,0.5330678224563599,0.7900822162628174,0.6539757251739502
6092800,-0.837662398815155,0.021171163767576218,-0.014878913760185242,0.1507405936717987,-4.897177696228027,0.04231311706629055,41.38490295410156,0.3717406988143921,0.787020206451416,0.7693738341331482
6297600,-0.8421279191970825,0.031932249665260315,-0.009732447564601898,0.17604662477970123,-4.455476760864258,0.052704576976421634,41.491661071777344,0.47778815031051636,0.7862451076507568,0.7720947861671448
6348800,-0.8706845045089722,0.00027835555374622345,-0.0124021265655756,0.062082864344120026,-4.7540602684021,0.047267355982274745,41.5161247253418,0.25563639402389526,0.7875151634216309,0.8561234474182129
6604800,-1.0463484525680542,0.049149591475725174,-0.013797204941511154,0.2790621221065521,-3.905094861984253,0.09090909090909091,41.64079284667969,1.3641421794891357,0.7949025630950928,0.7236042618751526
6656000,-0.9405930638313293,0.05091225728392601,-0.008173368871212006,0.2534198760986328,-3.944087266921997,0.09040333796940195,41.668304443359375,0.6525699496269226,0.7876825332641602,0.7526519894599915
6758400,-0.915295422077179,0.04797399416565895,-0.025836467742919922,0.31059789657592773,-4.129716873168945,0.08450704225352113,41.71177673339844,0.7960519790649414,0.7885887622833252,0.7519456148147583
7065600,-0.8183140754699707,0.025910552591085434,-0.016224412247538567,0.17209239304065704,-3.87485933303833,0.09583333333333334,41.87162399291992,1.6060254573822021,0.7927184104919434,0.8521661162376404
7116800,-0.9129236340522766,0.035705938935279846,-0.01934659481048584,0.2328914850950241,-3.7987430095672607,0.09902370990237098,41.8915901184082,1.8664581775665283,0.784259557723999,0.8502033352851868
7372800,-0.8511312007904053,0.08652573823928833,-0.01271643303334713,0.40226811170578003,-3.7374985218048096,0.10851648351648352,42.01451873779297,2.3795382976531982,0.7890338897705078,0.8952221870422363
7577600,-0.7329186797142029,0.09931287914514542,-0.018965065479278564,0.4648432433605194,-3.2703046798706055,0.12916111850865514,42.11039733886719,2.2328004837036133,0.7925512790679932,0.914002001285553
7628800,-0.8484388589859009,0.015303751453757286,-0.026913199573755264,0.17674967646598816,-2.925367593765259,0.1476510067114094,42.13671875,1.6823930740356445,0.7912025451660156,0.9097667932510376
7936000,-0.742317795753479,0.05462091043591499,-0.02286253683269024,0.30149388313293457,-2.4892053604125977,0.17685305591677503,42.27605438232422,1.8799774646759033,0.7880568504333496,0.9242590069770813
8089600,-0.6909536123275757,0.08475954085588455,-0.01676730252802372,0.3918124735355377,-2.935181140899658,0.16508795669824086,42.34926223754883,1.9399068355560303,0.79290771484375,0.9409950971603394
8140800,-0.7443727850914001,0.03240004554390907,-0.020411517471075058,0.20559999346733093,-2.6373178958892822,0.17345597897503284,42.378746032714844,1.3923110961914062,0.7895715236663818,0.9487322568893433
8192000,-0.7857844829559326,0.05687116086483002,-0.0052858926355838776,0.24689126014709473,-2.0388731956481934,0.1956521739130435,42.403465270996094,1.8350164890289307,0.7887816429138184,0.9465107917785645
8345600,-0.793951690196991,0.040517739951610565,-0.03484782576560974,0.30237942934036255,-2.0151002407073975,0.20304568527918782,42.47132873535156,2.108938217163086,0.7938756942749023,0.9360932111740112
8499200,-0.8037168979644775,0.02845682017505169,-0.020907610654830933,0.19878792762756348,-2.292809009552002,0.18562091503267975,42.54081726074219,1.6448752880096436,0.7911043167114258,0.9454364776611328
8550400,-0.7065006494522095,0.06855899840593338,-0.033145684748888016,0.39534854888916016,-2.6259586811065674,0.17748344370860927,42.56491470336914,1.8356698751449585,0.7877438068389893,0.9381386041641235
8704000,-0.6266574263572693,0.10622488707304001,-0.025172054767608643,0.5005171895027161,-1.7918905019760132,0.22007722007722008,42.643062591552734,2.403265953063965,0.7880520820617676,0.9372107982635498
9011200,-0.6921263337135315,0.050211381167173386,-0.03913821652531624,0.3442784547805786,-1.2400740385055542,0.25879396984924624,42.78156280517578,2.0373477935791016,49.82133197784424,0.957766056060791
9062400,-0.6703027486801147,0.052749715745449066,-0.025617890059947968,0.30008962750434875,-1.5007497072219849,0.24405506883604505,42.806312561035156,1.6483337879180908,0.7871160507202148,0.954904317855835
9113600,-0.7153058648109436,0.06074688583612442,-0.04789862409234047,0.42569977045059204,-1.678844928741455,0.21923076923076923,42.83433532714844,2.3078579902648926,0.7917380332946777,0.9497966766357422
9164800,-0.7313872575759888,0.0595872737467289,-0.022281039506196976,0.3213469982147217,-1.19282066822052,0.2623762376237624,42.85930633544922,1.866336703300476,0.7888762950897217,0.9481592178344727
9216000,-0.645503044128418,0.051673904061317444,-0.028298374265432358,0.3038698732852936,-0.88877934217453,0.2682926829268293,42.887603759765625,1.9931700229644775,0.793025016784668,0.9593341946601868
9267200,-0.7171605229377747,0.06054992973804474,-0.013887530192732811,0.28810858726501465,-0.9616326093673706,0.27722772277227725,42.91008758544922,2.0307579040527344,0.7914276123046875,0.9576455354690552
10035200,-0.5625001788139343,0.10107716917991638,-0.03722020238637924,0.5254828929901123,1.2895344495773315,0.41069397042093286,43.27985763549805,3.393993377685547,0.7899301052093506,0.9573489427566528
10188800,-0.6231662034988403,0.07155153155326843,-0.02618451789021492,0.3692687451839447,0.5115174651145935,0.3671607753705815,43.35457992553711,2.4107885360717773,0.7906410694122314,0.9630823731422424
10291200,-0.49927812814712524,0.05925499647855759,-0.038408175110816956,0.3554190993309021,1.691856026649475,0.4423076923076923,43.40850830078125,2.1746826171875,0.7905716896057129,0.9740684032440186
10700800,-0.4667408764362335,0.0985512062907219,-0.03168439492583275,0.48031455278396606,2.0304949283599854,0.45741324921135645,43.611961364746094,2.4176433086395264,0.7911467552185059,0.9660477638244629
10854400,-0.5316314697265625,0.08844339847564697,-0.02837182581424713,0.43333232402801514,1.5967962741851807,0.4320441988950276,43.69096755981445,2.315389633178711,0.789576530456543,0.9686926603317261
10905600,-0.4560621678829193,0.08434660732746124,-0.03535807877779007,0.4305897355079651,1.8427320718765259,0.4526431718061674,43.71666717529297,2.2829883098602295,0.7907145023345947,0.9739531874656677
11059200,-0.4605601131916046,0.0706029161810875,-0.04044867306947708,0.39913472533226013,1.7531324625015259,0.44168466522678185,43.79217529296875,2.042815923690796,0.7886006832122803,0.9676567316055298
11161600,-0.508510172367096,0.07601401209831238,-0.03477364033460617,0.4023677706718445,1.91843581199646,0.4480171489817792,43.83955764770508,2.096299648284912,0.7973537445068359,0.9740641713142395
